SETTLEMENTDATE,Renewable_MW
2023-01-01 00:00:00,6852.94524
2023-01-01 01:00:00,6402.9627
2023-01-01 02:00:00,6053.62616
2023-01-01 03:00:00,6452.0715900000005
2023-01-01 04:00:00,4598.16155
2023-01-01 05:00:00,4460.55933
2023-01-01 06:00:00,11438.082713
2023-01-01 07:00:00,16334.180291
2023-01-01 08:00:00,19396.883979
2023-01-01 09:00:00,22786.785821
2023-01-01 10:00:00,23030.46947
2023-01-01 11:00:00,23449.799671
2023-01-01 12:00:00,23064.349495
2023-01-01 13:00:00,21740.168726
2023-01-01 14:00:00,21562.509037
2023-01-01 15:00:00,21180.363358
2023-01-01 16:00:00,18979.878281
2023-01-01 17:00:00,15346.636012
2023-01-01 18:00:00,9178.641462
2023-01-01 19:00:00,8448.35286
2023-01-01 20:00:00,7871.3672
2023-01-01 21:00:00,6948.0142399999995
2023-01-01 22:00:00,6667.7915
2023-01-01 23:00:00,7261.638260000001
2023-01-02 00:00:00,7061.30817
2023-01-02 01:00:00,6403.8183500000005
2023-01-02 02:00:00,6024.69896
2023-01-02 03:00:00,3288.3178900000003
2023-01-02 04:00:00,3762.51087
2023-01-02 05:00:00,4400.46424
2023-01-02 06:00:00,10410.468571
2023-01-02 07:00:00,19806.421836999998
2023-01-02 08:00:00,22833.46502
2023-01-02 09:00:00,24715.481185
2023-01-02 10:00:00,25320.092124
2023-01-02 11:00:00,24630.364222
2023-01-02 12:00:00,24447.360635
2023-01-02 13:00:00,24156.729266
2023-01-02 14:00:00,23189.942749
2023-01-02 15:00:00,21813.427309
2023-01-02 16:00:00,21711.811412
2023-01-02 17:00:00,17826.331201
2023-01-02 18:00:00,9053.513582
2023-01-02 19:00:00,8856.96884
2023-01-02 20:00:00,7936.583079999999
2023-01-02 21:00:00,7391.908719999999
2023-01-02 22:00:00,7103.81642
2023-01-02 23:00:00,7114.10048
2023-01-03 00:00:00,7038.27517
2023-01-03 01:00:00,6915.06969
2023-01-03 02:00:00,6253.91589
2023-01-03 03:00:00,3430.42105
2023-01-03 04:00:00,2494.5460199999998
2023-01-03 05:00:00,3159.4238100000002
2023-01-03 06:00:00,11827.034011
2023-01-03 07:00:00,21145.191427
2023-01-03 08:00:00,23189.355435
2023-01-03 09:00:00,23829.768529
2023-01-03 10:00:00,25365.938229
2023-01-03 11:00:00,25931.261259
2023-01-03 12:00:00,26665.583053
2023-01-03 13:00:00,24551.11597
2023-01-03 14:00:00,22332.080953
2023-01-03 15:00:00,22260.074029
2023-01-03 16:00:00,22072.61782
2023-01-03 17:00:00,15699.867988
2023-01-03 18:00:00,7773.14628
2023-01-03 19:00:00,5487.11559
2023-01-03 20:00:00,4101.17973
2023-01-03 21:00:00,6219.40438
2023-01-03 22:00:00,4926.50033
2023-01-03 23:00:00,4549.79574
2023-01-04 00:00:00,5206.92638
2023-01-04 01:00:00,4805.88511
2023-01-04 02:00:00,4007.11411
2023-01-04 03:00:00,3541.41269
2023-01-04 04:00:00,2810.61642
2023-01-04 05:00:00,2799.55543
2023-01-04 06:00:00,11651.52922
2023-01-04 07:00:00,22119.215348
